[FAIL] Mon, 10 Feb 2014 07:34:42 -0600
[FAIL] Mon, 10 Feb 2014 07:36:10 -0600
[FAIL] Mon, 10 Feb 2014 10:00:01 -0600
[FAIL] Tue, 11 Feb 2014 10:00:01 -0600
[FAIL] Wed, 12 Feb 2014 10:00:01 -0600
[FAIL] Thu, 13 Feb 2014 10:00:01 -0600
[FAIL] Fri, 14 Feb 2014 10:00:01 -0600
[Success] Fri, 14 Feb 2014 20:00:01 -0600
[Success] Sat, 15 Feb 2014 20:00:01 -0600
[Success] Sun, 16 Feb 2014 20:00:01 -0600
[Success] Mon, 17 Feb 2014 20:00:01 -0600
[Success] [] Tue, 18 Feb 2014 20:00:01 -0600
[Success] [] Wed, 19 Feb 2014 20:00:01 -0600
[Success] [] Thu, 20 Feb 2014 20:00:01 -0600
[Success] [] Fri, 21 Feb 2014 20:00:01 -0600
[Success] [] Sat, 22 Feb 2014 20:00:01 -0600
[Success] [] Sun, 23 Feb 2014 20:00:01 -0600
[Success] [] Mon, 24 Feb 2014 20:00:02 -0600
[Success] [] Tue, 25 Feb 2014 20:00:01 -0600
[Success] [] Wed, 26 Feb 2014 20:00:01 -0600
[Success] [] Thu, 27 Feb 2014 20:00:01 -0600
[Success] [] Fri, 28 Feb 2014 20:00:01 -0600
[Success] [] Sat, 01 Mar 2014 20:00:02 -0600
[Success] [] Sun, 02 Mar 2014 20:00:01 -0600
[Success] [] Mon, 03 Mar 2014 20:00:01 -0600
[Success] [] Tue, 04 Mar 2014 20:00:01 -0600
[Success] [] Wed, 05 Mar 2014 20:00:01 -0600
[Success] [] Thu, 06 Mar 2014 20:00:01 -0600
[Success] [] Fri, 07 Mar 2014 20:00:01 -0600
[Success] [] Sat, 08 Mar 2014 20:00:01 -0600
[Success] [] Sun, 09 Mar 2014 20:00:01 -0500
[Success] Mon, 10 Mar 2014 20:00:01 -0500
[Success] Tue, 11 Mar 2014 20:00:01 -0500
[Success] Wed, 12 Mar 2014 20:00:01 -0500
[Success] Thu, 13 Mar 2014 20:00:01 -0500
[Success] Fri, 14 Mar 2014 20:00:01 -0500
[Success] Sat, 15 Mar 2014 20:00:01 -0500
[Success] Sun, 16 Mar 2014 20:00:01 -0500
[Success] Mon, 17 Mar 2014 20:00:01 -0500
[Success] Tue, 18 Mar 2014 20:00:01 -0500
[Success] Wed, 19 Mar 2014 20:00:01 -0500
[Success] Thu, 20 Mar 2014 20:00:01 -0500
[Success] Fri, 21 Mar 2014 20:00:01 -0500
[Success] Sat, 22 Mar 2014 20:00:01 -0500
[Success] Sun, 23 Mar 2014 20:00:01 -0500
[Success] Mon, 24 Mar 2014 20:00:01 -0500
[Success] Tue, 25 Mar 2014 20:00:01 -0500
[Success] Wed, 26 Mar 2014 20:00:01 -0500
[Success] Thu, 27 Mar 2014 20:00:01 -0500
[Success] Fri, 28 Mar 2014 20:00:01 -0500
[Success] Sat, 29 Mar 2014 20:00:01 -0500
[Success] Sun, 30 Mar 2014 20:00:01 -0500
[Success] Mon, 31 Mar 2014 20:00:02 -0500
[Success] Tue, 01 Apr 2014 20:00:01 -0500
[Success] Wed, 02 Apr 2014 20:00:01 -0500
[Success] Thu, 03 Apr 2014 20:00:01 -0500
[Success] Fri, 04 Apr 2014 20:00:02 -0500
[Success] Sat, 05 Apr 2014 20:00:01 -0500
[Success] Sun, 06 Apr 2014 20:00:01 -0500
[Success] Mon, 07 Apr 2014 20:00:01 -0500
[Success] Tue, 08 Apr 2014 20:00:01 -0500
[Success] Wed, 09 Apr 2014 20:00:01 -0500
[Success] Thu, 10 Apr 2014 20:00:01 -0500
[Success] Fri, 11 Apr 2014 20:00:01 -0500
[Success] Sat, 12 Apr 2014 20:00:01 -0500
[Success] Sun, 13 Apr 2014 20:00:01 -0500
[Success] Mon, 14 Apr 2014 20:00:02 -0500
[Success] Tue, 15 Apr 2014 20:00:01 -0500
[Success] Wed, 16 Apr 2014 20:00:01 -0500
[Success] Thu, 17 Apr 2014 20:00:01 -0500
[Success] Fri, 18 Apr 2014 20:00:01 -0500
[Success] Sat, 19 Apr 2014 20:00:01 -0500
[Success] Sun, 20 Apr 2014 20:00:01 -0500
[Success] Mon, 21 Apr 2014 20:00:01 -0500
[Success] Tue, 22 Apr 2014 20:00:01 -0500
[Success] Wed, 23 Apr 2014 20:00:01 -0500
